시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수,인센티브제 도입 여부
경기도 의정부시,68882.2,463724,5410,0.64746175,0.014036455,0.106436973,34700,0.313056114,0.721625363,8777,0.019284685,10064,670,0.001832987,1,0.608,0.4796,2241,317,0
경기도 파주시,81646.9,495315,77035,0.623867563,0.018635176,0.086112633,37411,0.280607408,0.711161584,18900,0.038511304,11298,800,0.001974501,51,0.619,0.5362,119,644,0
경기도 평택시,97255.9,578529,91709,0.596103832,0.018957424,0.088808741,37539,0.359962052,0.73799412,39894,0.067593463,14563,500,0.006514799,335,0.666,0.5773,12082,530,0
경기도 포천시,35183.6,146701,41649,0.294457172,0.034943917,0.143390557,32476,0.394945107,0.689040974,18848,0.115248682,4564,560,0.025044137,3,0.635,0.599,2063,31,0
경기도 하남시,35952.7,326059,10641,0.661258366,0.009664737,0.015959687,41947,0.305020359,0.712371074,4789,0.015193383,7532,500,0,43,0.63,0.5436,395,144,0
경기도 화성시,115303.8,910814,245997,0.695424382,0.012147237,0.039751278,42496,0.31327866,0.731217351,62376,0.066964976,21964,600,0,0,0.689,0.623,415,767,0
경상남도 거제시,15604.9,236662,34691,0.614465799,0.02616243,0.016294689,38816,0.314155817,0.712746449,9561,0.040395292,5569,650,0.016386239,1,0.632,0.6247,1186,0,0
경상남도 고성군,18844.1,50448,4498,0.202696669,0.016787213,0.033753014,33318,0.384945084,0.585038059,2039,0.042217069,830,400,0.011774501,0,0.671,0.6195,21,1,0
경상남도 김해시,7861,535129,84511,0.663023,0.007554702,0.048559943,36283,0.295747915,0.733030727,29308,0.053548883,12531,800,0.005643499,10,0.63,0.5558,328,318,0
경상남도 남해군,74952.9,41579,830,0.090082812,0.0117653,0.021157342,31812,0.406483539,0.532287934,1473,0.036378454,1722,400,0.033670844,1,0.693,0.609,15,7,0
경상남도 밀양시,7518.8,102945,8684,0.342629566,0.016859986,0.021001035,33083,0.391667195,0.603351304,4851,0.047758285,1800,700,0.029238914,0,0.613,0.6541,770,32,0
경상남도 사천시,19181,109369,17160,0.463032191,0.027829699,0.012917965,35156,0.36251298,0.646426318,4900,0.044810242,3540,500,0.006226627,0,0.654,0.5851,259,0,0
경상남도 산청군,22343.6,34028,1225,0.07203892,0.012411901,0.007422192,32673,0.412087569,0.544287058,1179,0.035933071,593,450,0.065828142,0,0.734,0.6243,39,2,0
경상남도 양산시,8798,353792,48496,0.744542266,0.006375954,0.016514203,35726,0.312346104,0.703523539,10678,0.030262837,8344,950,0.002854785,6,0.595,0.5232,280,203,0
경상남도 의령군,44820,26061,1810,0.102863034,0.016337537,0.021571893,32591,0.444761678,0.542419708,1146,0.0457814,327,400,0.026860059,1,0.697,0.6658,52,1,0
경상남도 진주시,4057.5,343782,13544,0.521016029,0.007027421,0.011975096,36492,0.357961319,0.689503813,8325,0.02370991,8618,590,0.046922177,0,0.628,0.5785,705,0,0
경상남도 창녕군,63000.7,58372,8539,0.190175258,0.024947643,0.04111401,32884,0.395929015,0.579096142,4179,0.071066594,1093,320,0.025697252,4,0.657,0.6294,5,20,0
경상남도 창원시,10727.8,1021487,117375,0.587669556,0.020787603,0.018726197,183867,0.322125757,0.713237662,24086,0.023689183,23306,700,0.006322156,0,0.625,0.5798,354,291,0
경상남도 통영시,179271.6,122681,3623,0.495906411,0.019479199,0.016873348,33836,0.354395757,0.659816924,6079,0.049420353,3198,500,0.024453664,0,0.582,0.5432,183,11,0
경상남도 하동군,27029.6,42465,962,0.107881469,0.016411153,0.012604177,32419,0.397314539,0.557023431,1078,0.027262152,600,400,0.022371365,0,0.73,0.6354,24,2,0
경상남도 함안군,3909.6,61456,22020,0.371505457,0.016930782,0.013903424,34008,0.359022275,0.618198386,4734,0.075854444,1187,400,0.001936345,3,0.63,0.6237,64,41,0
