시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수
강원도 태백시,0.0973374927,0.0285066869,0.00370944322,0.612145947,0.983062401,0.0142528862,0.0233384964,0.556141413,0.46036157,0.00445277459,0.0616253291,0.0243193292,0.283950617,0,0,0.457044674,0.872888889,7.39E-05,0.000747523827
강원도 평창군,0.0158512118,0.0299698653,0.00312374166,0.196223101,0.473316772,0.102809392,0.0182146148,0.59764795,0.421835912,0.00929557323,0.143751157,0.0672556798,0.432098765,0,0.0208955224,0.587628866,0.966,0.00055400639,0.0117735003
강원도 홍천군,0.0806652434,0.0552495038,0.00886687085,0.275239828,0.410601842,0.0507194116,0.0183976106,0.513120522,0.437499815,0.0180169444,0.150659289,0.0630634692,0.382716049,0.00839493719,0,0.652920962,0.897333333,0.00271463131,0.00429826201
강원도 화천군,0.0508879724,0.0134814747,0.000748396439,0.301985606,0.311206584,0.0465614088,0.0162866237,0.547129792,0.532350729,0.00328270243,0.11151176,0.00441759827,0.111111111,0,0.00895522388,0.728522337,0.940888889,0.000110801278,0.000186880957
강원도 횡성군,0.0374620919,0.0351612447,0.0217401031,0.245302806,0.113187742,0.0485356338,0.01508408,0.450907854,0.360572605,0.0167602002,0.224440537,0.0341462315,0.320987654,0,0.0268656716,0.567010309,0.854444444,0,0.000934404784
경기도 가평군,0.102206764,0.0497911552,0.00588141984,0.22004687,0.533343443,0.278759204,0.0189400623,0.543040864,0.480900152,0.0204220927,0.195193883,0.0927019473,0.444444444,0.112931633,0.0208955224,0.336769759,0.839333333,0.00160661853,0.0596150252
경기도 고양시,0.628777703,1,0.109383834,0.758238015,0.234891973,0.220439342,0.585331582,0.275624199,0.861596204,0.232811857,0.0937263726,0.579539308,0.703703704,0.000876528825,0,0.340206186,0.625111111,0.0149397056,0.438048963
경기도 과천시,0.0572662383,0.0647667205,0.000760598554,0.755492312,0.076688663,0.233971381,0.12345679,0,0.786584379,0.00394357652,0.00409552701,0.0408853228,0.37037037,0,0,0.268041237,0.684666667,0.00140348285,0.034572977
경기도 광명시,0.250736735,0.261300992,0.057541111,0.80142261,0.0579548898,0.370125379,0.04989249,0.192357408,0.823001176,0.0737037117,0.121357955,0.1465696,0.444444444,0.0312101733,0,0.285223368,0.663333333,0.00301010138,0.0429826201
경기도 광주시,0.343561904,0.358268878,0.176190418,0.408765457,0.221951679,1,0.0361678071,0.216033902,0.814979161,0.200949059,0.282719609,0.180715831,0.518518519,0.00803496589,0.00895522388,0.508591065,0.628666667,0.00607560341,0.0923191927
경기도 구리시,0.213329341,0.16833577,0.0114049109,0.760859094,0.236850093,0.180580389,0.0444483658,0.263152844,0.860835124,0.0268033195,0.0506913407,0.0997340426,0.456790123,0,0.0447761194,0.357388316,0.575111111,0.0171372643,0.0272846197
